voltage_v,current_a,temp_c,vibration_g,failure
234.97,16.12,83.43,0.095,0
228.62,7.38,58.59,0.0416,0
236.48,14.3,40.06,0.014,0
245.23,9.52,39.17,0.0514,0
227.66,10.69,54.86,0.1795,0
227.66,12.19,36.29,0.1386,0
245.79,11.52,68.81,0.0499,0
237.67,5.3,62.97,0.1562,0
225.31,17.53,60.74,0.033,0
235.43,16.54,50.71,0.1385,0
225.37,11.41,45.83,0.0342,0
225.34,15.74,46.01,0.0154,0
232.42,10.41,62.65,0.0221,0
210.87,8.07,63.06,0.099,0
212.75,12.22,54.75,0.1602,0
224.38,7.32,39.57,0.0586,0
219.87,14.44,71.21,0.1496,0
233.14,9.19,52.53,0.1375,0
220.92,5.6,61.88,0.1226,0
215.88,-2.51,65.74,0.0019,0
244.66,11.49,61.87,0.2345,0
227.74,13.28,54.01,0.2876,0
230.68,17.35,70.8,0.0079,0
215.75,5.06,69.54,0.0354,0
224.56,16.04,63.64,0.0286,0
231.11,10.05,57.38,0.0188,0
218.49,11.75,71.17,0.0756,0
233.76,12.02,49.51,0.1314,0
223.99,11.96,65.23,0.1796,0
227.08,3.87,66.27,0.1631,0
223.98,14.86,73.76,0.0999,0
248.52,15.34,67.68,0.0616,0
229.87,15.83,55.23,0.1462,0
219.42,13.95,77.59,0.0456,0
238.23,11.17,72.69,0.0316,0
217.79,6.13,41.64,0.0858,0
232.09,13.79,67.86,0.0291,0
210.4,12.15,64.87,0.0543,0
216.72,11.99,76.66,0.0172,0
231.97,13.76,76.02,0.0263,0
237.38,11.82,61.55,0.1159,0
231.71,10.22,49.17,0.005,0
228.84,7.28,55.33,0.1103,0
226.99,11.98,66.6,0.0288,0
215.21,17.89,62.5,0.0073,0
222.8,7.59,68.13,0.0746,0
225.39,16.01,75.05,0.1041,0
240.57,14.86,63.7,0.0599,0
233.44,5.15,59.02,0.0555,0
212.37,14.43,50.24,0.3273,1
233.24,12.07,20.14,0.1221,0
226.15,11.67,55.46,0.1921,0
223.23,19.98,60.12,0.0411,1
236.12,15.77,46.3,0.0972,0
240.31,8.29,70.07,0.0697,0
239.31,14.56,49.15,0.0417,0
221.61,8.33,59.5,0.0111,0
226.91,8.5,54.64,0.1012,0
233.31,12.64,84.85,0.0775,0
239.76,16.69,83.0,0.0537,0
225.21,6.05,69.74,0.0084,0
228.14,9.98,59.86,0.1894,0
218.94,16.7,66.87,0.0419,0
218.04,8.24,59.34,0.0958,0
238.13,12.13,73.72,0.0503,0
243.56,10.76,70.97,0.1245,0
229.28,17.11,70.19,0.0375,0
240.04,13.28,64.63,0.002,0
233.62,10.81,67.3,0.1638,0
223.55,8.65,73.47,0.0188,0
233.61,20.42,95.25,0.1628,1
245.38,11.7,75.33,0.0976,0
229.64,11.09,40.46,0.0472,0
245.65,14.0,58.69,0.0496,0
203.8,14.88,51.38,0.3347,1
238.22,6.4,59.82,0.0876,0
230.87,11.24,58.25,0.115,0
227.01,7.71,57.76,0.0794,0
230.92,9.74,67.36,0.0067,0
210.12,17.09,59.07,0.0331,0
227.8,16.61,72.29,0.0799,0
233.57,14.36,55.27,0.0467,0
244.78,6.38,47.52,0.1158,0
224.82,12.75,59.06,0.0375,0
221.92,9.7,52.15,0.0851,0
224.98,15.97,75.13,0.0721,0
239.15,9.75,71.34,0.0461,0
233.29,8.69,77.61,0.1181,0
224.7,13.44,45.46,0.0138,0
235.13,16.85,36.23,0.0952,0
230.97,16.27,85.97,0.2142,1
239.69,17.2,42.85,0.0629,0
222.98,17.23,72.06,0.0433,0
226.72,18.53,70.2,0.2643,1
